year	b	k1	recall_1000
2021.0	0.6	1.4	0.7527
2021.0	0.7	1.3	0.7527
2021.0	0.6	1.5	0.7524
2021.0	0.5	1.4	0.7523
2021.0	0.6	1.3	0.7523
2021.0	0.4	1.4	0.752
2021.0	0.5	1.6	0.752
2021.0	0.7	1.4	0.7518
2021.0	0.8	1.2	0.7518
2021.0	0.7	1.2	0.7516
2021.0	0.7	1.5	0.7514
2021.0	0.8	1.3	0.7514
2021.0	0.5	1.3	0.7511
2021.0	0.6	1.2	0.7509
2021.0	0.5	1.5	0.7507
2021.0	0.4	1.5	0.7506
2021.0	0.6	1.6	0.7505
2021.0	0.7	1.1	0.7504
2021.0	0.8	1.1	0.7504
2021.0	0.8	1.4	0.7504
2021.0	0.5	1.2	0.7502
2021.0	0.9	1.3	0.75
2021.0	0.4	1.6	0.7499
2021.0	0.8	1.5	0.7497
2021.0	0.6	1.1	0.7492
2021.0	0.7	1.0	0.7489
2021.0	0.9	1.4	0.7489
2021.0	0.4	1.3	0.7488
2021.0	0.3	1.4	0.7487
2021.0	0.3	1.5	0.7487
2021.0	0.6	1.7	0.7487
2021.0	0.4	1.2	0.7485
2021.0	0.8	1.6	0.7485
2021.0	0.3	1.3	0.7484
2021.0	0.6	1.0	0.7483
2021.0	0.4	1.7	0.7482
2021.0	0.6	1.8	0.7482
2021.0	0.7	1.6	0.7481
2021.0	0.9	1.1	0.7481
2021.0	0.9	1.2	0.7481
2021.0	0.5	1.1	0.7479
2021.0	0.3	1.6	0.7477
2021.0	0.4	1.1	0.7475
2021.0	0.5	1.7	0.7475
2021.0	0.5	1.8	0.7475
2021.0	0.4	1.0	0.7474
2021.0	0.5	1.0	0.7474
2021.0	0.9	1.5	0.7474
2021.0	0.3	1.2	0.7473
2021.0	0.8	1.0	0.7473
2021.0	0.4	0.9	0.7472
2021.0	0.4	1.8	0.7472
2021.0	0.7	1.7	0.7472
2021.0	0.5	0.9	0.747
2021.0	0.3	0.9	0.7468
2021.0	0.8	0.9	0.7467
2021.0	0.8	1.7	0.7467
2021.0	0.7	0.9	0.7466
2021.0	0.4	1.9	0.7465
2021.0	0.5	1.9	0.7464
2021.0	0.6	1.9	0.7463
2021.0	0.3	1.0	0.7461
2021.0	0.9	1.6	0.7461
2021.0	0.3	1.9	0.7459
2021.0	0.3	1.1	0.7458
2021.0	0.9	1.0	0.7458
2021.0	0.3	1.7	0.7457
2021.0	0.3	1.8	0.7457
2021.0	0.8	0.8	0.7457
2021.0	0.6	0.9	0.7456
2021.0	0.7	1.8	0.7454
2021.0	0.5	0.8	0.7453
2021.0	0.7	0.8	0.7451
2021.0	0.9	0.9	0.745
2021.0	0.4	0.8	0.7449
2021.0	0.6	0.8	0.7446
2021.0	0.9	1.7	0.7444
2021.0	0.9	0.8	0.7441
2021.0	0.4	2.0	0.7439
2021.0	0.6	2.0	0.7439
2021.0	0.7	1.9	0.7439
2021.0	0.5	2.0	0.7438
2021.0	0.3	0.8	0.7434
2021.0	0.7	2.0	0.7434
2021.0	0.8	1.8	0.7431
2021.0	0.7	0.7	0.7426
2021.0	0.3	2.0	0.7425
2021.0	0.8	1.9	0.7423
2021.0	0.8	0.7	0.7422
2021.0	0.8	2.0	0.7418
2021.0	0.9	0.7	0.7415
2021.0	0.6	0.7	0.7414
2021.0	0.9	1.8	0.7412
2021.0	0.5	0.7	0.7408
2021.0	0.4	0.7	0.7402
2021.0	0.3	0.7	0.7393
2021.0	0.9	1.9	0.7386
2021.0	0.9	2.0	0.7384
2021.0	0.6	0.6	0.7377
2021.0	0.5	0.6	0.7375
2021.0	0.7	0.6	0.7373
2021.0	0.8	0.6	0.737
2021.0	0.9	0.6	0.7366
2021.0	0.4	0.6	0.7365
2021.0	0.3	0.6	0.7352
2021.0	0.6	0.5	0.7344
2021.0	0.8	0.5	0.7341
2021.0	0.7	0.5	0.7339
2021.0	0.4	0.5	0.7334
2021.0	0.9	0.5	0.7334
2021.0	0.5	0.5	0.7333
2021.0	0.3	0.5	0.7326
