conversation_id	turn_id	id	query	original
132	1-1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about?	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about?
132	1-3	132_1-3	What are the effects of COP26?	What are the effects of these changes?
132	1-5	132_1-5	Can you be more specific about the effects of COP26?	Can you be more specific?
132	1-7	132_1-7	Are rising temperatures not all bad for our health?	They’re not all bad, right?
132	1-1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about?	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about?
132	1-3	132_1-3	What are the effects of COP26?	What are the effects of these changes?
132	2-1	132_2-1	Tell me more about COP26.	Tell me more.
132	2-3	132_2-3	How does COP26 affect developing countries?	Okay, but how does it affect developing countries?
132	2-5	132_2-5	How are developed countries helping with climate change adaptation?	How are developed countries helping with that?
132	2-7	132_2-7	Are developed countries meeting the Paris Agreement?	Are they meeting them?
132	2-9	132_2-9	By the way, is COP26 related to last year’s conference?	By the way, is that related to last year’s conference?
132	2-11	132_2-11	So what happens at each Paris COP?	So what happens at each COP?
132	2-13	132_2-13	How are the two Paris COPs different?	How are the two different?
132	1-1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about?	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was it about?
132	1-3	132_1-3	What are the effects of COP26?	What are the effects of these changes?
132	2-1	132_2-1	Tell me more about COP26.	Tell me more.
132	2-3	132_2-3	How does COP26 affect developing countries?	Okay, but how does it affect developing countries?
132	2-5	132_2-5	How are developed countries helping with climate change adaptation?	How are developed countries helping with that?
132	2-7	132_2-7	Are developed countries meeting the Paris Agreement?	Are they meeting them?
132	2-9	132_2-9	By the way, is COP26 related to last year’s conference?	By the way, is that related to last year’s conference?
132	3-1	132_3-1	Why is COP26 the biggest summit the UK has ever hosted?	Why?
132	3-3	132_3-3	How did other parties respond to the withdrawal from the Paris climate accord besides the United States?	How did other parties respond?
132	3-5	132_3-5	Where does the US stand now that Biden is president?	Where does the US stand now that Biden is president?
132	3-7	132_3-7	How are the United States doing after 2030 target?	And how are they doing?
133	1-1	133_1-1	I’d like to appreciate my mom by making her a pamper pack. What do you put in one?	I’d like to appreciate my mom by making her a pamper pack. What do you put in one?
133	1-3	133_1-3	Can I make voucher books at home for Mom’s Day?	Can I make them at home?
133	1-5	133_1-5	I’ve never done make-up remover before. Can you tell me how to make one?	I’ve never done something like this before. Can you tell me how to make one?
133	1-7	133_1-7	How much would making your own deodorant cost?	How much would this cost?
133	1-1	133_1-1	I’d like to appreciate my mom by making her a pamper pack. What do you put in one?	I’d like to appreciate my mom by making her a pamper pack. What do you put in one?
133	1-3	133_1-3	Can I make voucher books at home for Mom’s Day?	Can I make them at home?
133	1-5	133_1-5	I’ve never done make-up remover before. Can you tell me how to make one?	I’ve never done something like this before. Can you tell me how to make one?
133	3-2	133_3-2	My mom loves a good, scented lotion. Let’s make her a pamper pack?	My mum loves a good, scented lotion. Let’s make that
