	Query_id	Query	Passage_id	Passage	Score
0	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_33_1621342262-1	"Climate Change: What is COP26, and why is it happening in Glasgow in 2021?  - CBBC Newsround Home Menu Home Shows Games Quizzes Watch Join  In Puzzles Newsround Newsround play Watch Newsround Climate Change: What is COP26, and why is it happening in Glasgow in 2021?  18 Nov 2020 18 November 2020 Last updated at 01:27 comments View Comments (2) COP26  The official poster for the rescheduled COP26 summit Prime Minister Boris Johnson had pledged that 2020 would be the ""defining year of climate action"" when he joined Sir David Attenborough to launch the next United Nations climate change conference.  The COP26 event is a global united Nations summit about climate change and how countries are planning to tackle it.  It was due to take place in Glasgow from 9 - 19 November with more than 200 world leaders due to attend, but when coronavirus arrived, that all changed.  Cop26 was moved to 1 and 12 November 2021 but many young activists from around the world are meeting at an online conference called Mock COP26 on the original dates.  So what is COP26 all about?  Keep reading to find out."	94.3790392429928
1	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_30_1605964568-1	HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.	93.58300480138725
2	132_1-1	I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?	MARCO_27_1574256585-1	Event: UN Climate Change Conference (UNFCCC COP 26) | SDG Knowledge Hub | IISD 1-12 November 2021 Glasgow, Scotland, UK share this twitter facebook googleplus pinterest UN Climate Change Conference (UNFCCC COP 26)  The 26th session of the Conference of the Parties (COP 26) to the UNFCCC was originally scheduled to take place from 9-19 November 2020, in Glasgow, UK.  On 28 May 2020, the COP Bureau decided that it would take place from 1-12 November 2021, in Glasgow, UK.  The change in dates had been anticipated following a decision, on 1 April 2020, to postpone the event due to the COVID-19 pandemic.  At that time, the COP Bureau announced that: “In light of the ongoing, worldwide effects of COVID-19, holding an ambitious, inclusive COP26 in November 2020 is no longer possible.  Rescheduling will ensure all parties can focus on the issues to be discussed at this vital conference and allow more time for the necessary preparations to take place.  We will continue to work with all involved to increase climate ambition, build resilience and lower emissions.”  The Italy-hosted Pre-COP and 'Youth for the Climate' event are also postponed.  SDG Knowledge Hub coverage of COP 25 and related events here.	90.84248462454023
3	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_56_509777868-2	This year’s COP26 represents a major milestone as the world looks to recover better from the global pandemic and implement the transformative change necessary to limit the global temperature rise to 1.5°C. Collective action will be critical and we call on businesses to assess environmental risks and opportunities, set and deliver ambitious environmental targets and adopt responsible practices for a transition to the net-zero, resilient economy.	95.48524151154923
4	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_16_3117875026-4	"UNFCCC Secretary Patricia Espinosa tweeted that ""in light of the ongoing, worldwide effects of COVID-19, holding an ambitious, inclusive, COP26 in November 2020 is not possible."" She also indicated that when economies restart, this will be an opportunity to ""shape the 21st century economy in ways that are clean, green, healthy, just, safe and more resilient.""  The rearranged date was announced in May 2020.  Earlier in 2021, the UK and Italy are due to host summits of the G7 and G20 respectively.  Independent observers noted that though not directly related, the postponement gave the international community time to respond to the outcome of the United States presidential election, held in November 2020.  President Donald Trump withdrew the United States from the Paris Agreement, although this could not take effect until 4 November 2020; while his Democratic challengers pledged to immediately rejoin the Paris Agreement and increase ambition to reduce emissions.  On January 20, 2021 President Joe Biden rejoined the Paris Accord.  Sponsors Previous summits have been sponsored by fossil fuel companies.  To reduce this influence, the UK government decided that sponsors ""have to have real commitments in place to help them reach net zero in the near future""."	89.91923536183458
5	132_1-3	Interesting. What are the effects of these climate changes?	MARCO_30_1605964568-1	HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.	86.75791755210957
6	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_16_3117875026-4	"UNFCCC Secretary Patricia Espinosa tweeted that ""in light of the ongoing, worldwide effects of COVID-19, holding an ambitious, inclusive, COP26 in November 2020 is not possible."" She also indicated that when economies restart, this will be an opportunity to ""shape the 21st century economy in ways that are clean, green, healthy, just, safe and more resilient.""  The rearranged date was announced in May 2020.  Earlier in 2021, the UK and Italy are due to host summits of the G7 and G20 respectively.  Independent observers noted that though not directly related, the postponement gave the international community time to respond to the outcome of the United States presidential election, held in November 2020.  President Donald Trump withdrew the United States from the Paris Agreement, although this could not take effect until 4 November 2020; while his Democratic challengers pledged to immediately rejoin the Paris Agreement and increase ambition to reduce emissions.  On January 20, 2021 President Joe Biden rejoined the Paris Accord.  Sponsors Previous summits have been sponsored by fossil fuel companies.  To reduce this influence, the UK government decided that sponsors ""have to have real commitments in place to help them reach net zero in the near future""."	92.00973911222808
7	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_56_509777868-2	This year’s COP26 represents a major milestone as the world looks to recover better from the global pandemic and implement the transformative change necessary to limit the global temperature rise to 1.5°C. Collective action will be critical and we call on businesses to assess environmental risks and opportunities, set and deliver ambitious environmental targets and adopt responsible practices for a transition to the net-zero, resilient economy.	89.11441855315934
8	132_1-5	That’s rather vague. Can you be more specific about the effects of climate change?	MARCO_16_3117875026-7	"The Bureau assessed that in light of the ongoing, worldwide effects of #COVIDー19, holding an ambitious, inclusive COP26 in November 2020 is no possible"". @PEspinosaC. Retrieved 2 April 2020.  ^ Murray, James S (29 May 2020).  ""COP26: Delayed Glasgow Climate Summit confirmed for November 2021"". www.businessgreen.com.  Retrieved 5 June 2020.  ^ Gustin, Georgina (1 April 2020).  ""COP's Postponement Until 2021 Gives World Leaders Time to Respond to U.S. Election"".  InsideClimate News.  Retrieved 2 April 2020.  ^ ""Cop26 climate talks postponed to 2021 amid coronavirus pandemic"".  Climate Home News.  1 April 2020.  Retrieved 2 April 2020.  ^ ""Biden plans immediate flurry of executive orders to reverse Trump policies"".  The Washington Post. 8 November 2020.  Retrieved 9 November 2020.  ^ ""Biden returns US to Paris climate accord hours after becoming president"".  The Guardian.  20 January 2021.  Retrieved 1 March 2021.  ^ Frost, Rosie (20 August 2020).  ""COP26 may refuse sponsorship from big polluters"".  living.  Retrieved 3 January 2021.  ^ ""First sponsors for COP26 announced with one year to go until the climate summit"".  GOV.UK.  16 November 2020.  Retrieved 3 January 2021."	87.21300763165937
9	132_1-7	Woah. The effects of climate change are not all bad, right?	MARCO_50_573981595-1	"Climate Change - Rising Temperature | PublicHealth.org Health Guides Climate Change Climate change is one of the most fiercely debated scientific issues of the past 20 years.  Although a steady contingent of global warming deniers have remained insistent that climate change does not pose a threat, there is an overwhelming consensus among the worldwide scientific community that our planet is undergoing significant, highly problematic shifts.  Experts point to rising sea levels, record-breaking temperatures across the globe, declining air quality and erratic weather patterns as different manifestations of climate change.  Today, doctors, nurses and other medical personnel are drawing attention to the negative effects on human health caused by an increasingly warm, more heavily polluted environment.  According to a 2009 article in Scientific American, a team of climate change researchers from the World Health Organization (WHO) found that ""global warming is [  responsible] for some 150,000 deaths each year around the world""; they feared this number would double by the year 2030.  Climate change fatalities are generally linked to four different catalysts: Rising temperatures Declining air quality Extreme weather Vector-borne illnesses This guide discusses all four of these factors at length.  Our goal is to create a comprehensive health resource that will help you, your loved ones, and your community safeguard against diseases, conditions, and injuries stemming from climate change."	83.45013450994156
