Statistics computed over 13 Manual runs.

             NDCG@3		   NDCG@5                NDCG@500               AP@500
Topic  Best  Median Worst    Best  Median Worst    Best  Median  Worst     Best  Median  Worst
----- ------ ------ ------  ------ ------ ------  ------- ------ ------  ------- ------ ------
106_1  0.9260 0.7654 0.0000  0.8094 0.6924 0.0000  0.7777 0.7269 0.0949   0.4748 0.4513 0.0089
106_2  0.5433 0.2654 0.1173  0.4985 0.3215 0.1918  0.6572 0.6243 0.2016   0.3878 0.3451 0.0867
106_3  0.4134 0.0587 0.0000  0.2988 0.0656 0.0000  0.5026 0.4109 0.1563   0.2537 0.1565 0.0458
106_4  0.6913 0.2961 0.0740  0.4996 0.3124 0.1630  0.6996 0.5186 0.2973   0.3323 0.2285 0.0693
106_5  0.6606 0.3394 0.0000  0.5870 0.3392 0.1461  0.6829 0.4992 0.2662   0.4594 0.1590 0.0796
106_6  0.6020 0.5433 0.0000  0.4656 0.4202 0.0000  0.6070 0.4262 0.0000   0.4636 0.2762 0.0000
106_7  1.0000 0.7654 0.2346  0.9344 0.6627 0.3738  0.8387 0.7447 0.3485   0.5860 0.4712 0.1767
106_8  0.1353 0.0000 0.0000  0.1016 0.0000 0.0000  0.3632 0.2130 0.1095   0.1377 0.0623 0.0152
106_10 0.4985 0.0000 0.0000  0.3818 0.0000 0.0000  0.4388 0.3046 0.0105   0.1208 0.0682 0.0005
107_1  0.8240 0.7039 0.0000  0.8728 0.7456 0.0000  0.8564 0.8066 0.0000   0.6634 0.5802 0.0000
107_2  1.0000 0.9260 0.0000  0.9672 0.9100 0.0365  0.9270 0.8635 0.0181   0.7420 0.6257 0.0097
107_3  0.8591 0.6261 0.0000  0.7489 0.6708 0.0000  0.8688 0.7377 0.0000   0.7315 0.5545 0.0000
107_4  0.8240 0.6913 0.0000  0.7463 0.6711 0.0000  0.8448 0.6812 0.0000   0.6780 0.5084 0.0000
107_5  0.8929 0.5535 0.0000  0.8590 0.6199 0.0000  0.9169 0.6823 0.0000   0.8013 0.3917 0.0000
107_6  0.7449 0.5102 0.0000  0.7563 0.5553 0.0000  0.8351 0.7860 0.0000   0.6887 0.6632 0.0000
107_7  1.0000 1.0000 0.0000  1.0000 1.0000 0.0656  0.9193 0.8917 0.0242   0.6510 0.6122 0.0048
107_8  1.0000 1.0000 0.0000  1.0000 1.0000 0.0000  0.9229 0.8870 0.0000   0.6911 0.5984 0.0000
108_1  0.8824 0.6618 0.0000  0.8242 0.6282 0.0875  0.8340 0.6787 0.3706   0.6315 0.4941 0.1016
108_2  0.8929 0.6606 0.3394  0.9162 0.7169 0.3229  0.8171 0.5088 0.1030   0.5210 0.2865 0.0283
108_3  0.5765 0.4058 0.0000  0.5552 0.3922 0.0000  0.5616 0.2877 0.0000   0.3256 0.1754 0.0000
108_4  0.8293 0.5765 0.0000  0.8325 0.6409 0.0000  0.6466 0.5192 0.1990   0.3893 0.2233 0.0327
108_5  0.7118 0.5765 0.0000  0.7005 0.5597 0.0000  0.8020 0.7469 0.0000   0.5449 0.5087 0.0000
108_6  0.7346 0.1173 0.0000  0.6309 0.0984 0.0000  0.3342 0.2381 0.0000   0.1033 0.0505 0.0000
108_7  0.7010 0.5535 0.0000  0.6563 0.5585 0.0572  0.7713 0.6619 0.0322   0.5455 0.4126 0.0072
108_8  1.0000 0.8520 0.1480  1.0000 0.7691 0.3112  0.8337 0.5634 0.2261   0.6011 0.3006 0.0763
110_1  0.8827 0.7654 0.0587  0.9152 0.6876 0.1885  0.8332 0.6656 0.1140   0.5461 0.3360 0.0419
110_2  0.7933 0.5866 0.1173  0.7209 0.5074 0.2271  0.7869 0.7423 0.1010   0.5827 0.5253 0.0401
110_3  0.7654 0.5433 0.1913  0.7209 0.5826 0.1383  0.8027 0.7380 0.0640   0.5626 0.4421 0.0263
110_4  0.8520 0.5866 0.0000  0.8565 0.4240 0.0693  0.8632 0.4084 0.0254   0.5634 0.2000 0.0151
110_5  1.0000 0.8087 0.0000  0.8617 0.7754 0.0000  0.8979 0.8262 0.1814   0.6490 0.5498 0.0491
110_6  0.5411 0.0000 0.0000  0.4431 0.0000 0.0000  0.3285 0.1415 0.0768   0.0833 0.0166 0.0033
110_7  1.0000 0.7346 0.0000  0.9608 0.6074 0.0000  0.8380 0.7764 0.0067   0.5872 0.5050 0.0001
110_8  0.9413 0.7933 0.0000  0.9584 0.8538 0.0785  0.9505 0.9064 0.0568   0.8113 0.7503 0.0435
110_9  0.7449 0.4693 0.0000  0.7563 0.4971 0.0457  0.7841 0.6205 0.0204   0.5803 0.3963 0.0065
111_1  0.8647 0.7794 0.0000  0.8591 0.7836 0.0000  0.7624 0.4925 0.0000   0.4423 0.2846 0.0000
111_2  0.9218 0.6667 0.4320  0.9432 0.7346 0.5059  0.8892 0.8012 0.3240   0.7840 0.6151 0.2061
111_3  0.8827 0.8520 0.1173  0.9864 0.8793 0.1969  0.8316 0.6800 0.0855   0.5680 0.4738 0.0312
111_4  1.0000 1.0000 0.0000  1.0000 1.0000 0.0000  0.8939 0.8270 0.0481   0.6190 0.5502 0.0167
111_5  0.3612 0.2605 0.0000  0.4603 0.2065 0.0000  0.5892 0.3904 0.0000   0.3644 0.1838 0.0000
111_6  0.9299 0.8100 0.0000  0.9275 0.8153 0.0000  0.8533 0.7549 0.0000   0.7488 0.5499 0.0000
111_7  0.7654 0.2961 0.0000  0.5531 0.3392 0.0000  0.6811 0.4248 0.0000   0.4000 0.1998 0.0000
111_8  1.0000 0.4693 0.0000  1.0000 0.5531 0.1312  0.8525 0.7846 0.1549   0.5819 0.4668 0.0511
